<?php header("Access-Control-Allow-Origin: *"); ?>
cost	time	mode
49.64	7.12	"train"
55.98	7.2	"train"
62.32	4.3	"train"
62.32	4.4	"train"
62.32	4.4	"train"
62.32	4.45	"train"
62.32	4.5	"train"
62.32	4.55	"train"
70.77	4.2	"train"
70.77	4.2	"train"
70.77	4.2	"train"
70.77	4.2	"train"
70.77	4.27	"train"
70.77	4.27	"train"
70.77	4.27	"train"
70.77	4.27	"train"
70.77	4.27	"train"
70.77	4.27	"train"
70.77	4.27	"train"
70.77	4.27	"train"
70.77	4.26	"train"
70.77	4.3	"train"
70.77	4.3	"train"
70.77	4.3	"train"
70.77	4.33	"train"
70.77	4.41	"train"
70.77	4.42	"train"
70.77	4.5	"train"
70.77	5	"train"
70.77	5.02	"train"
70.77	5.1	"train"
70.77	6.2	"train"
79.22	6.5	"train"
79.22	4.17	"train"
79.22	4.2	"train"
79.22	4.2	"train"
79.22	4.27	"train"
79.22	4.3	"train"
79.22	4.3	"train"
83.44	5.04	"train"
83.44	5.16	"train"
94	4.17	"train"
94	4.27	"train"
106.68	5.18	"train"
106.68	5.29	"train"
121.47	5.11	"train"
121.47	5.11	"train"
19.34	5.47	"bus"
29.78	8	"bus"
29.78	8.5	"bus"
29.78	8.5	"bus"
29.78	9	"bus"
32.75	8.05	"bus"
34.66	10.05	"bus"
35.74	8.55	"bus"
36.82	8.15	"bus"
36.82	8.15	"bus"
38.99	9.45	"bus"
42.78	9.25	"bus"
46.03	9	"bus"
55.23	10.15	"bus"
55.23	10.4	"bus"
55.23	12.25	"bus"
55.23	12.5	"bus"
57.63	7.1	"bus"
57.63	7.1	"bus"
57.63	7.1	"bus"
57.63	7.1	"bus"
57.63	7.35	"bus"
57.63	7.55	"bus"
57.63	8.25	"bus"
57.63	9.3	"bus"
57.63	9.4	"bus"
57.63	10.05	"bus"
87.19	18.05	"bus"
87.19	18.3	"bus"
64.86	3.11	"plane"
64.86	3.15	"plane"
64.86	3.15	"plane"
64.86	3.15	"plane"
75.6	3.11	"plane"
75.6	3.11	"plane"
75.6	3.11	"plane"
75.6	3.11	"plane"
75.6	3.11	"plane"
75.6	3.11	"plane"
82	3.11	"plane"
82	3.11	"plane"
82	3.11	"plane"
86	3.2	"plane"
92	4.32	"plane"
102.88	4.18	"plane"
105.47	3.26	"plane"
105.47	3.26	"plane"
105.47	3.26	"plane"
105.47	3.26	"plane"
105.47	3.26	"plane"
105.47	3.26	"plane"
107.21	4.31	"plane"
118	4.26	"plane"
118	4.26	"plane"
125.11	4.26	"plane"
128.88	4.32	"plane"
129.49	4.15	"plane"
129.49	5.59	"plane"
140.33	4.41	"plane"
151.51	7.13	"plane"
165.32	11.09	"plane"
165.62	16.11	"plane"
221.92	8.13	"plane"
226.25	7.37	"plane"
248.67	3.12	"plane"
229.77	16.16	"plane"
306.46	15.33	"plane"
315.06	12.29	"plane"
